id_ruta|nombre|telefono|email|web|dificultad|id_parque
1|Ruta al Estany de Sant Maurici|+34 973 696 189|pnaiguestortes@gencat.cat|https://www.visitpirineus.com/es/node/25|media|1
2|Carros de Foc|+34 973 624 036|info.aiguestortes@oapn.es|https://www.visitpirineus.com/es/node/25|alta|1
3|Ruta al Castillo de Cabrera|+34 971 177 641|parcnacionaldecabrera@gmail.com|https://www.spain.info/es/naturaleza/parque-nacional-cabrera/|baja|2
4|Ruta a la Cova Blava|+34 622 574 806|info@marcabrera.com|https://www.marcabrera.com/es/excursion/cabrera-cueva-azul|baja|2
5|Ruta del Boquerón del Estena|+34 926 783 297|usopublicocabaneros@oapn.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/cabaneros.html|baja|3
6|Ruta Colada de Navalrincón|+34 926 783 297|usopublicocabaneros@oapn.es|https://es.wikiloc.com/rutas-senderismo/colada-de-navalrincon-16869942|media|3
7|Barranco de las Angustias|+34 922 922 280|infcalde.cmayot@gobiernodecanarias.org|https://es.wikiloc.com/rutas-senderismo/la-palma-barranco-de-las-angustias-cascada-de-colores-pr-lp-13-3210039|media|4
8|Cascada de Colores|+34 922 922 280|infcalde.cmayot@gobiernodecanarias.org|https://es.wikiloc.com/rutas-senderismo/cascada-de-colores-la-palma-100551563|baja|4
9|Laguna del Jaral|+34 959 439 629|infojaral.visitante@juntadeandalucia.es|https://es.wikiloc.com/rutas-senderismo/laguna-del-jaral-acantilados-del-asperillo-en-donana-8413958|media|5
10|Ruta de la Rocina|+34 959 439 569|cvrocina.pndonana.cagpds@juntadeandalucia.es|https://www.miteco.gob.es/eu/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/donana/guia-visitante/rocina.html|baja|5
11|Bosque del Cedro|+34 922 922 600|informacion.garajonay@gobiernodecanarias.org|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/garajonay.html|media|6
12|Raso de la Bruma|+34 922 922 600|informacion.garajonay@gobiernodecanarias.org|https://www.alltrails.com/es/ruta/spain/la-gomera/gr-132-circular-raso-de-la-bruma|difícil|6
13|Ruta al Faro de Cíes|+34 886 218 090|iatlanticas@xunta.gal|https://www.islas-cies.org/actividades-islas-cies/rutas-islas-cies/|media|7
14|Faro de Sálvora|+34 886 218 090|iatlanticas@xunta.gal|https://patrimonionatural.xunta.gal/es/node/1325|baja|7
15|Ruta Amarilla|+34 927 199 503|pnmonfrague@juntaex.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/monfrague/guia-visitante/itinerarios.html|baja|8
16|Ruta del Castillo de Monfragüe|+34 927 199 503|pnmonfrague@juntaex.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/monfragüe/guia-visitante/itinerarios.html|media|8
17|Faja de las Flores|+34 974 341 201|pnmonfrague@juntaex.es|https://www.rutasparquesnacionales.es/parques-nacionales-de-espa%C3%B1a/ordesa-y-monte-perdido/faja-de-las-flores/|alta|9
18|Ruta del Cares|+34 942 738 109|administracioncangas1@pnpeu.es|https://www.miteco.gob.es/en/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/picos-europa/guia-visitante/ruta-cares.html|media|10
19|Vega de Ario|+34 942 738 109|administracioncangas2@pnpeu.es||media|10
20|Peñalara y Laguna Grande|+34 915 468 111|oficina@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/gredos/guia-visitante/peñalara.html|media|11
21|La Pedriza / Charca Verde|+34 915 468 111|oficina@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/cuenca/guia-visitante/la-pedriza.html|media|11
22|Laguna de las Yeguas|+34 915 468 111|oficina@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/gredos/guia-visitante/laguna-yeguas.html|baja|12
23|Ascenso al Mulhacén|+34 915 468 111|info@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/sierra-nevada/guia-visitante/itinerarios.html|alta|12
24|Itinerario de la Laguna Permanente|+34 915 468 111|info@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/ordesa-y-monte-perdido/guia-visitante/itinerarios.html|baja|13
25|Itinerario de la Torre de Prado Ancho|+34 915 468 111|info@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/ordesa-y-monte-perdido/guia-visitante/itinerarios.html|baja|13
26|Ascenso al Teide|+34 922 290 129|teide.maot@gobiernodecanarias.org|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/teide/guia-visitante.html|alta|14
27|Roques de García|+34 922 290 129|teide.maot@gobiernodecanarias.org|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/teide/guia-visitante/itinerarios.html|baja|14
28|Ruta Tremesana|+34 915 468 111|info@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/cabañeros/guia-visitante/itinerarios.html|baja|15
29|Ruta de los Volcanes|+34 915 468 111|info@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/cabañeros/guia-visitante/volcanes.html|alta|15
30|Pinsapar de Yunquera|+34 915 468 111|info@parquesnacionales.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/los-alcornocales/guia-visitante/itinerarios.html|media|16
31|Sendero de los Quejigales|+34 927 199 503|pnmonfrague@juntaex.es|https://www.miteco.gob.es/es/parques-nacionales-oapn/red-parques-nacionales/parques-nacionales/monfrague/guia-visitante/itinerarios.html|alta|16
